text,label
"I love this product!",positive
"Terrible customer service.",negative
"Just okay, nothing special.",neutral
"Amazing quality and great service",positive
"Worst purchase ever",negative
"Great value for money",positive
"Outstanding product with excellent customer support",positive
"Poor quality very disappointed",negative
"Highly recommended to everyone",positive
"Not worth the price",negative
"Fantastic experience overall",positive
"Decent product but could be better",neutral
"Excellent customer service",positive
"Total waste of money",negative
